,under15,15_17,18_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85up,Male,Female,never_mar,married,mar_apart,widowed,divorced,lt_hs,some_hs,hs_grad,some_col,assoc_dec,ba_deg,grad_deg,not_in_labor_force,employed,unemployed,below_pov_level,at_above_pov_level,Overdose,No_overdose,Insured,Uninsured,Veteran,Not_veteran,FIPS
"Autauga County, Alabama",10842,2527,4665,3660,3404,4095,3279,3874,3979,4131,2694,2271,2440,1498,1026,815,26874,28326,22034,24292,1540,2467,4867,11815,6575,13971,8859,3262,6229,4489,28643,25382,1175,8352,46848,NA,NA,49639,5561,5071,50129,1001
"Baldwin County, Alabama",37621,8056,15441,11825,11501,12428,12949,13694,14636,14440,14851,13141,11410,7373,4792,3949,101188,106919,79813,85218,7594,12711,22771,41757,21015,45953,37313,14637,31703,15729,107226,96288,4593,22473,185634,NA,NA,180671,27436,19354,188753,1003
"Barbour County, Alabama",4517,919,2173,1863,1812,1656,1448,1672,1780,1657,1651,1515,1305,841,551,422,13697,12085,11854,7992,1543,1789,2604,6087,4789,7496,3796,1327,1482,805,15887,8952,943,6699,19083,NA,NA,22270,3512,1561,24221,1005
"Bibb County, Alabama",3742,917,2088,1557,1518,1455,1440,1813,1626,1494,1216,1280,842,624,488,427,12152,10375,9753,7633,1157,1623,2361,4882,2909,8285,3701,916,1217,617,13470,8356,701,3199,19328,NA,NA,20118,2409,1278,21249,1007
"Blount County, Alabama",11112,2356,4550,3400,3386,3040,4113,3959,3988,3895,3613,3330,2802,1776,1459,866,28434,29211,20655,25158,2760,3678,5394,14108,8011,15216,9847,5303,3367,1793,34672,22018,955,7876,49769,NA,NA,49499,8146,3765,53880,1009
"Bullock County, Alabama",1770,380,1098,702,418,862,737,611,711,593,854,575,436,248,182,175,5663,4689,5673,2932,419,609,719,2117,2019,3363,1434,424,576,419,5741,4049,562,2877,7475,NA,NA,9113,1239,356,9996,1011
"Butler County, Alabama",3772,794,1571,1238,1186,1213,1188,1168,1259,1460,1370,1087,994,753,415,557,9368,10657,9604,6016,1041,1437,1927,4362,2717,6639,2940,1096,1380,891,11519,7927,579,4322,15703,NA,NA,17637,2388,1174,18851,1013
"Calhoun County, Alabama",20564,4632,10767,8017,7000,7039,6806,7148,7810,7851,8078,6667,4822,3524,2323,2050,55315,59783,47303,44169,4342,7185,12099,24710,14543,29128,25137,6614,8777,6189,60219,50163,4716,20357,94741,NA,NA,102329,12769,9549,105549,1015
"Chambers County, Alabama",5777,1229,3256,1829,1862,1861,2112,2281,2367,2638,2205,2089,1686,1185,747,702,16257,17569,14264,11772,1589,2780,3421,7175,4648,10503,6099,2159,2324,918,17819,15183,824,5426,28400,NA,NA,29900,3926,2209,31617,1017
"Cherokee County, Alabama",4194,1092,1894,1437,1092,1561,1356,1749,1893,2047,1917,1934,1492,1188,528,479,12820,13033,8484,12362,823,1653,2531,5606,3688,8014,4561,1469,1377,1138,15168,10054,631,4053,21800,NA,NA,22379,3474,2086,23767,1019
"Chilton County, Alabama",8739,1908,3490,2955,2874,2716,2892,2843,2813,3037,2736,2048,2088,1385,804,602,21672,22258,17601,17655,1415,2751,4508,10423,6080,14963,5940,2211,2822,1491,24532,17969,1429,8581,35349,NA,NA,36755,7175,2699,41231,1021
"Choctaw County, Alabama",2138,512,989,689,637,617,829,826,980,1074,900,876,771,680,262,295,6253,6822,5175,4701,814,930,1455,2650,2029,3927,2169,1064,781,455,8152,4318,605,2718,10357,NA,NA,11318,1757,771,12304,1023
"Clarke County, Alabama",4330,1059,2128,1362,1231,1502,1419,1568,1749,1940,1473,1534,1041,956,630,465,11539,12848,10894,9064,1227,1519,1683,5313,3567,8498,3470,1367,1396,776,15194,7866,1327,6308,18079,NA,NA,21325,3062,1130,23257,1025
"Clay County, Alabama",2318,501,1274,615,579,790,864,814,1010,1126,835,804,740,527,332,249,6464,6914,4800,5656,655,929,1338,3369,1925,3934,2248,958,510,434,7354,5645,379,2483,10895,NA,NA,11248,2130,788,12590,1027
"Cleburne County, Alabama",2838,600,1055,853,853,832,992,1109,1001,966,1036,1046,572,540,233,412,7281,7657,5358,6429,633,1138,1380,3593,2432,4599,2366,497,950,501,8646,5809,483,2387,12551,NA,NA,12918,2020,715,14223,1029
"Coffee County, Alabama",10017,2144,4215,3267,3207,3427,3337,3470,3367,3543,2919,2724,2137,1641,967,906,25314,25974,20273,20828,2401,2726,5060,11586,6194,11154,9517,4292,5802,2743,26305,23554,1429,7090,44198,NA,NA,44888,6400,6439,44849,1031
"Colbert County, Alabama",9559,2049,4249,3516,2980,2807,3729,3578,3817,3831,3878,3093,2910,2028,1255,1216,26075,28420,20687,22427,1892,3689,5800,11489,6728,15493,10225,3130,4767,2663,29894,23108,1493,8381,46114,NA,NA,48325,6170,3839,50656,1033
"Conecuh County, Alabama",2181,470,1015,691,597,630,721,740,861,1075,826,948,686,511,250,312,6037,6477,5822,3701,556,1219,1216,2808,1747,4801,1440,765,636,317,7988,3956,570,2615,9899,NA,NA,10951,1563,776,11738,1035
"Coosa County, Alabama",1496,354,775,587,571,430,831,778,768,1109,788,790,560,505,312,201,5501,5354,4276,4025,395,901,1258,2011,1670,3512,2113,576,726,247,6420,4197,238,1367,9488,NA,NA,9492,1363,1059,9796,1037
"Covington County, Alabama",6776,1414,2723,2231,2063,1996,2102,2266,2629,2642,2859,2328,1902,1451,1107,862,18172,19179,13487,15082,1543,3148,4091,8455,4589,10597,6749,2872,2676,1413,20539,15265,1547,6553,30798,NA,NA,32790,4561,2902,34449,1039
"Crenshaw County, Alabama",2580,536,1074,899,668,945,797,815,1011,1070,928,794,741,433,263,311,6814,7051,5935,4869,666,1035,1360,3387,2048,4167,1988,751,1115,409,7655,5851,359,2223,11642,NA,NA,12093,1772,761,13104,1041
"Cullman County, Alabama",15311,3261,6529,5389,4777,5007,5171,5257,5756,5716,5336,4479,4277,2649,2297,1101,40560,41753,30040,34904,2955,5368,9046,18664,11694,22608,14730,6452,5346,2819,46379,33975,1959,13658,68655,NA,NA,70929,11384,5149,77164,1043
"Dale County, Alabama",9541,1965,4367,3671,3455,2969,2847,3036,3117,3629,2719,2670,1909,1538,958,864,24234,25021,19864,18436,2513,2977,5465,11095,5813,12454,10272,3609,4061,1951,26437,21010,1808,8570,40685,NA,NA,43844,5411,6288,42967,1045
