,under15,15_17,18_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85up,Male,Female,never_mar,married,mar_apart,widowed,divorced,lt_hs,some_hs,hs_grad,some_col,assoc_dec,ba_deg,grad_deg,not_in_labor_force,employed,unemployed,below_pov_level,at_above_pov_level,Overdose,No_overdose,Insured,Uninsured,Veteran,Not_veteran,FIPS
"Autauga County, Alabama",0.196413043,0.045778986,0.08451087,0.066304348,0.061666667,0.074184783,0.059402174,0.070181159,0.072083333,0.074836957,0.048804348,0.041141304,0.044202899,0.027137681,0.018586957,0.014764493,0.486847826,0.513152174,0.399166667,0.440072464,0.027898551,0.044692029,0.08817029,0.214039855,0.119112319,0.253097826,0.16048913,0.059094203,0.112844203,0.081322464,0.518894928,0.459818841,0.021286232,0.151304348,0.848695652,NA,NA,0.899257246,0.100742754,0.091865942,0.908134058,1001
"Baldwin County, Alabama",0.180777196,0.038710855,0.074197408,0.056821731,0.05526484,0.059719279,0.062222799,0.065802688,0.070329206,0.069387382,0.071362328,0.063145401,0.054827565,0.03542889,0.023026616,0.018975815,0.486230641,0.513769359,0.383519055,0.409491271,0.036490844,0.061079156,0.109419674,0.200651588,0.100981707,0.220814293,0.179297188,0.070334011,0.152339902,0.075581312,0.515244562,0.462685061,0.022070377,0.107987718,0.892012282,NA,NA,0.868163973,0.131836027,0.093000235,0.906999765,1003
"Barbour County, Alabama",0.175199752,0.035645024,0.084283609,0.072259716,0.070281592,0.064230859,0.056163215,0.064851447,0.069040416,0.064269645,0.064036925,0.058761927,0.050616709,0.032619657,0.021371499,0.016368009,0.531262121,0.468737879,0.45977814,0.30998371,0.059847956,0.069389497,0.101000698,0.23609495,0.185749748,0.290745481,0.147234505,0.051470018,0.057481964,0.031223334,0.616205104,0.34721899,0.036575906,0.259832441,0.740167559,NA,NA,0.863780932,0.136219068,0.060546117,0.939453883,1005
"Bibb County, Alabama",0.166111777,0.040706708,0.092688773,0.06911706,0.067385804,0.06458916,0.063923292,0.0804812,0.072180051,0.066320416,0.053979669,0.056820704,0.037377369,0.027700093,0.021662893,0.018955032,0.539441559,0.460558441,0.43294713,0.338837839,0.05136059,0.072046877,0.104807564,0.216717717,0.129133928,0.367780885,0.164291739,0.040662316,0.05402406,0.027389355,0.597949128,0.370932659,0.031118214,0.142007369,0.857992631,NA,NA,0.893061659,0.106938341,0.056731922,0.943268078,1007
"Blount County, Alabama",0.192766068,0.040870847,0.07893139,0.058981698,0.058738833,0.052736577,0.071350507,0.068678983,0.069182063,0.06756874,0.062676728,0.057767369,0.048607858,0.030809264,0.025310088,0.015022986,0.493260474,0.506739526,0.358313817,0.436429872,0.047879261,0.06380432,0.09357273,0.244739353,0.13897129,0.263960448,0.170821407,0.091994102,0.058409229,0.031104172,0.601474542,0.381958539,0.016566918,0.136629369,0.863370631,NA,NA,0.85868679,0.14131321,0.065313557,0.934686443,1009
"Bullock County, Alabama",0.170981453,0.036707883,0.106066461,0.067812983,0.040378671,0.083268934,0.071193972,0.059022411,0.06868238,0.057283617,0.082496136,0.055544822,0.042117465,0.023956723,0.017581144,0.016904946,0.547044049,0.452955951,0.548010046,0.283230294,0.04047527,0.058829212,0.069455178,0.204501546,0.195034776,0.32486476,0.138523957,0.040958269,0.055641422,0.04047527,0.554578825,0.391132148,0.054289026,0.277917311,0.722082689,NA,NA,0.880312983,0.119687017,0.03438949,0.96561051,1011
"Butler County, Alabama",0.188364544,0.039650437,0.078451935,0.061822722,0.059225968,0.060574282,0.059325843,0.058327091,0.062871411,0.072908864,0.068414482,0.054282147,0.049637953,0.037602996,0.020724095,0.027815231,0.467815231,0.532184769,0.479600499,0.300424469,0.051985019,0.0717603,0.096229713,0.217827715,0.1356804,0.331535581,0.146816479,0.054731586,0.068913858,0.044494382,0.575230961,0.395855181,0.028913858,0.215830212,0.784169788,NA,NA,0.880749064,0.119250936,0.058626717,0.941373283,1013
"Calhoun County, Alabama",0.178665138,0.040243966,0.093546369,0.069653686,0.060817738,0.06115658,0.059132218,0.062103599,0.067855219,0.068211437,0.07018367,0.057924551,0.041894733,0.030617387,0.020182801,0.017810909,0.480590453,0.519409547,0.410980208,0.383751238,0.037724374,0.062425064,0.105119116,0.214686615,0.126353195,0.253071296,0.218396497,0.057464074,0.076256755,0.053771569,0.523197623,0.435828598,0.040973779,0.17686667,0.82313333,NA,NA,0.889059758,0.110940242,0.082964083,0.917035917,1015
"Chambers County, Alabama",0.170785786,0.036332998,0.096257317,0.054070833,0.055046414,0.055016851,0.062437179,0.067433335,0.069975758,0.077987347,0.065186543,0.061757228,0.049843316,0.035032224,0.022083604,0.020753267,0.480606634,0.519393366,0.421687459,0.348016319,0.046975699,0.082185301,0.101135221,0.212114941,0.137409094,0.310500798,0.180305091,0.063826642,0.068704547,0.027138887,0.526784131,0.44885591,0.02435996,0.160409153,0.839590847,NA,NA,0.883935434,0.116064566,0.065304795,0.934695205,1017
"Cherokee County, Alabama",0.162224887,0.042238812,0.073260357,0.055583491,0.042238812,0.06037984,0.052450393,0.067651723,0.073221676,0.079178432,0.074150002,0.074807566,0.057710904,0.045952114,0.020423162,0.01852783,0.495880555,0.504119445,0.328163076,0.47816501,0.03183383,0.063938421,0.097899663,0.216841372,0.14265269,0.309983368,0.176420531,0.056821259,0.053262677,0.044018102,0.586701737,0.388891038,0.024407225,0.156770974,0.843229026,NA,NA,0.865624879,0.134375121,0.080686961,0.919313039,1019
"Chilton County, Alabama",0.198930116,0.043432734,0.079444571,0.067266105,0.065422263,0.061825632,0.065832005,0.064716595,0.06403369,0.069132711,0.062280901,0.046619622,0.047530162,0.03152743,0.018301844,0.013703619,0.493330298,0.506669702,0.400660141,0.401889369,0.032210335,0.062622354,0.102617801,0.237263829,0.138402003,0.340610061,0.135215115,0.050330071,0.064238561,0.03394036,0.558433872,0.409037104,0.032529023,0.195333485,0.804666515,NA,NA,0.836671978,0.163328022,0.061438652,0.938561348,1021
"Choctaw County, Alabama",0.163518164,0.0391587,0.075640535,0.052695985,0.048718929,0.047189293,0.063403442,0.063173996,0.074952199,0.082141491,0.068833652,0.066998088,0.058967495,0.052007648,0.020038241,0.022562141,0.478240918,0.521759082,0.395793499,0.359541109,0.062256214,0.071128107,0.111281071,0.202676864,0.155181644,0.300344168,0.165889101,0.081376673,0.059732314,0.034799235,0.623479924,0.330248566,0.046271511,0.207877629,0.792122371,NA,NA,0.865621415,0.134378585,0.058967495,0.941032505,1023
"Clarke County, Alabama",0.177553615,0.043424775,0.087259606,0.055849428,0.050477714,0.061590191,0.058186739,0.064296551,0.071718539,0.07955058,0.060401033,0.062902366,0.042686677,0.039201214,0.025833436,0.019067536,0.473161931,0.526838069,0.446713413,0.371673433,0.050313692,0.062287284,0.069012179,0.217861976,0.146266453,0.348464346,0.142288924,0.056054455,0.057243613,0.031820232,0.623036864,0.322548899,0.054414237,0.258662402,0.741337598,NA,NA,0.874441301,0.125558699,0.046336163,0.953663837,1025
"Clay County, Alabama",0.173269547,0.037449544,0.095230976,0.045970997,0.043280012,0.059052175,0.064583645,0.060846165,0.075497085,0.084168037,0.062415907,0.060098669,0.055314696,0.039393033,0.024816864,0.018612648,0.483181343,0.516818657,0.358798027,0.422783675,0.048960981,0.069442368,0.10001495,0.251831365,0.143892959,0.294064883,0.168037076,0.071610106,0.03812229,0.032441322,0.549708477,0.421961429,0.028330094,0.185603229,0.814396771,NA,NA,0.840783376,0.159216624,0.058902676,0.941097324,1027
"Cleburne County, Alabama",0.189985272,0.04016602,0.070625251,0.057102691,0.057102691,0.05569688,0.066407819,0.074240193,0.067010309,0.064667291,0.069353327,0.070022761,0.038291605,0.036149418,0.015597804,0.027580667,0.487414647,0.512585353,0.358682555,0.430378899,0.042375151,0.07618155,0.092381845,0.240527514,0.162806266,0.30787254,0.158388004,0.033270853,0.063596198,0.033538626,0.578792342,0.388874013,0.032333646,0.159793814,0.840206186,NA,NA,0.864774401,0.135225599,0.047864507,0.952135493,1029
