County Code,County,State,age,Year,level,pct
1073,Jefferson County, AL,under15,2018,Overdose,0.0
1073,Jefferson County, AL,15_17,2018,Overdose,0.0
1073,Jefferson County, AL,18_24,2018,Overdose,0.0
1073,Jefferson County, AL,25_29,2018,Overdose,14.0
1073,Jefferson County, AL,30_34,2018,Overdose,26.0
1073,Jefferson County, AL,35_39,2018,Overdose,30.0
1073,Jefferson County, AL,40_44,2018,Overdose,17.0
1073,Jefferson County, AL,45_49,2018,Overdose,15.0
1073,Jefferson County, AL,50_54,2018,Overdose,11.0
1073,Jefferson County, AL,55_59,2018,Overdose,0.0
1073,Jefferson County, AL,60_64,2018,Overdose,0.0
1073,Jefferson County, AL,65_69,2018,Overdose,0.0
1073,Jefferson County, AL,70_74,2018,Overdose,0.0
1073,Jefferson County, AL,75_79,2018,Overdose,0.0
1073,Jefferson County, AL,80_84,2018,Overdose,0.0
1073,Jefferson County, AL,85up,2018,Overdose,0.0
4013,Maricopa County, AZ,under15,2018,Overdose,0.0
4013,Maricopa County, AZ,15_17,2018,Overdose,37.0
4013,Maricopa County, AZ,18_24,2018,Overdose,102.0
4013,Maricopa County, AZ,25_29,2018,Overdose,107.0
4013,Maricopa County, AZ,30_34,2018,Overdose,85.0
4013,Maricopa County, AZ,35_39,2018,Overdose,100.0
4013,Maricopa County, AZ,40_44,2018,Overdose,60.0
4013,Maricopa County, AZ,45_49,2018,Overdose,73.0
4013,Maricopa County, AZ,50_54,2018,Overdose,55.0
4013,Maricopa County, AZ,55_59,2018,Overdose,60.0
4013,Maricopa County, AZ,60_64,2018,Overdose,44.0
4013,Maricopa County, AZ,65_69,2018,Overdose,21.0
4013,Maricopa County, AZ,70_74,2018,Overdose,11.0
4013,Maricopa County, AZ,75_79,2018,Overdose,0.0
4013,Maricopa County, AZ,80_84,2018,Overdose,0.0
4013,Maricopa County, AZ,85up,2018,Overdose,0.0
4019,Pima County, AZ,under15,2018,Overdose,0.0
4019,Pima County, AZ,15_17,2018,Overdose,0.0
4019,Pima County, AZ,18_24,2018,Overdose,16.0
4019,Pima County, AZ,25_29,2018,Overdose,21.0
4019,Pima County, AZ,30_34,2018,Overdose,21.0
4019,Pima County, AZ,35_39,2018,Overdose,23.0
4019,Pima County, AZ,40_44,2018,Overdose,11.0
4019,Pima County, AZ,45_49,2018,Overdose,14.0
4019,Pima County, AZ,50_54,2018,Overdose,17.0
4019,Pima County, AZ,55_59,2018,Overdose,21.0
4019,Pima County, AZ,60_64,2018,Overdose,10.0
