County Code,County,State,gender,Year,level,pct
1001,Autauga County                               ,Alabama                                                               ,Male,2014-2018,Veteran,4503.0
1003,Baldwin County                               ,Alabama                                                               ,Male,2014-2018,Veteran,17578.0
1005,Barbour County                               ,Alabama                                                               ,Male,2014-2018,Veteran,1408.0
1007,Bibb County                                  ,Alabama                                                               ,Male,2014-2018,Veteran,1246.0
1009,Blount County                                ,Alabama                                                               ,Male,2014-2018,Veteran,3543.0
1011,Bullock County                               ,Alabama                                                               ,Male,2014-2018,Veteran,279.0
1013,Butler County                                ,Alabama                                                               ,Male,2014-2018,Veteran,1068.0
1015,Calhoun County                               ,Alabama                                                               ,Male,2014-2018,Veteran,8797.0
1017,Chambers County                              ,Alabama                                                               ,Male,2014-2018,Veteran,2048.0
1019,Cherokee County                              ,Alabama                                                               ,Male,2014-2018,Veteran,1959.0
1021,Chilton County                               ,Alabama                                                               ,Male,2014-2018,Veteran,2437.0
1023,Choctaw County                               ,Alabama                                                               ,Male,2014-2018,Veteran,726.0
1025,Clarke County                                ,Alabama                                                               ,Male,2014-2018,Veteran,981.0
1027,Clay County                                  ,Alabama                                                               ,Male,2014-2018,Veteran,756.0
1029,Cleburne County                              ,Alabama                                                               ,Male,2014-2018,Veteran,666.0
1031,Coffee County                                ,Alabama                                                               ,Male,2014-2018,Veteran,5664.0
1033,Colbert County                               ,Alabama                                                               ,Male,2014-2018,Veteran,3574.0
1035,Conecuh County                               ,Alabama                                                               ,Male,2014-2018,Veteran,559.0
1037,Coosa County                                 ,Alabama                                                               ,Male,2014-2018,Veteran,940.0
1039,Covington County                             ,Alabama                                                               ,Male,2014-2018,Veteran,2712.0
1041,Crenshaw County                              ,Alabama                                                               ,Male,2014-2018,Veteran,710.0
1043,Cullman County                               ,Alabama                                                               ,Male,2014-2018,Veteran,4645.0
1045,Dale County                                  ,Alabama                                                               ,Male,2014-2018,Veteran,5360.0
1047,Dallas County                                ,Alabama                                                               ,Male,2014-2018,Veteran,1977.0
1049,DeKalb County                                ,Alabama                                                               ,Male,2014-2018,Veteran,3402.0
1051,Elmore County                                ,Alabama                                                               ,Male,2014-2018,Veteran,5614.0
1053,Escambia County                              ,Alabama                                                               ,Male,2014-2018,Veteran,2022.0
1055,Etowah County                                ,Alabama                                                               ,Male,2014-2018,Veteran,6855.0
1057,Fayette County                               ,Alabama                                                               ,Male,2014-2018,Veteran,1090.0
1059,Franklin County                              ,Alabama                                                               ,Male,2014-2018,Veteran,1111.0
1061,Geneva County                                ,Alabama                                                               ,Male,2014-2018,Veteran,1982.0
1063,Greene County                                ,Alabama                                                               ,Male,2014-2018,Veteran,326.0
1065,Hale County                                  ,Alabama                                                               ,Male,2014-2018,Veteran,673.0
1067,Henry County                                 ,Alabama                                                               ,Male,2014-2018,Veteran,1079.0
1069,Houston County                               ,Alabama                                                               ,Male,2014-2018,Veteran,7204.0
1071,Jackson County                               ,Alabama                                                               ,Male,2014-2018,Veteran,2797.0
1073,Jefferson County                             ,Alabama                                                               ,Male,2014-2018,Veteran,33928.0
1075,Lamar County                                 ,Alabama                                                               ,Male,2014-2018,Veteran,739.0
1077,Lauderdale County                            ,Alabama                                                               ,Male,2014-2018,Veteran,5755.0
1079,Lawrence County                              ,Alabama                                                               ,Male,2014-2018,Veteran,1509.0
1081,Lee County                                   ,Alabama                                                               ,Male,2014-2018,Veteran,9055.0
1083,Limestone County                             ,Alabama                                                               ,Male,2014-2018,Veteran,6549.0
1085,Lowndes County                               ,Alabama                                                               ,Male,2014-2018,Veteran,327.0
1087,Macon County                                 ,Alabama                                                               ,Male,2014-2018,Veteran,1235.0
1089,Madison County                               ,Alabama                                                               ,Male,2014-2018,Veteran,28470.0
1091,Marengo County                               ,Alabama                                                               ,Male,2014-2018,Veteran,917.0
1093,Marion County                                ,Alabama                                                               ,Male,2014-2018,Veteran,1495.0
1095,Marshall County                              ,Alabama                                                               ,Male,2014-2018,Veteran,5824.0
1097,Mobile County                                ,Alabama                                                               ,Male,2014-2018,Veteran,25169.0
1099,Monroe County                                ,Alabama                                                               ,Male,2014-2018,Veteran,1330.0
2013,Aleutians East Borough                       ,Alaska                                                                ,Male,2014-2018,Veteran,111.0
2016,Aleutians West Census Area                   ,Alaska                                                                ,Male,2014-2018,Veteran,255.0
2020,Anchorage Borough                            ,Alaska                                                                ,Male,2014-2018,Veteran,24123.0
2050,Bethel Census Area                           ,Alaska                                                                ,Male,2014-2018,Veteran,620.0
2060,Bristol Bay Borough                          ,Alaska                                                                ,Male,2014-2018,Veteran,83.0
2068,Denali Borough                               ,Alaska                                                                ,Male,2014-2018,Veteran,111.0
2070,Dillingham Census Area                       ,Alaska                                                                ,Male,2014-2018,Veteran,157.0
2090,Fairbanks North Star Borough                 ,Alaska                                                                ,Male,2014-2018,Veteran,9517.0
,,,Male,2014-2018,Veteran,135.0
,,,Male,2014-2018,Veteran,181.0
,,,Male,2014-2018,Veteran,2138.0
,,,Male,2014-2018,Veteran,4796.0
,,,Male,2014-2018,Veteran,971.0
,,,Male,2014-2018,Veteran,207.0
,,,Male,2014-2018,Veteran,55.0
,,,Male,2014-2018,Veteran,409.0
,,,Male,2014-2018,Veteran,582.0
,,,Male,2014-2018,Veteran,274.0
,,,Male,2014-2018,Veteran,252.0
,,,Male,2014-2018,Veteran,499.0
,,,Male,2014-2018,Veteran,711.0
,,,Male,2014-2018,Veteran,978.0
,,,Male,2014-2018,Veteran,242.0
,,,Male,2014-2018,Veteran,37.0
4001,Apache County                                ,Arizona                                                               ,Male,2014-2018,Veteran,2638.0
4003,Cochise County                               ,Arizona                                                               ,Male,2014-2018,Veteran,15673.0
4005,Coconino County                              ,Arizona                                                               ,Male,2014-2018,Veteran,6506.0
4007,Gila County                                  ,Arizona                                                               ,Male,2014-2018,Veteran,5071.0
4009,Graham County                                ,Arizona                                                               ,Male,2014-2018,Veteran,1899.0
4011,Greenlee County                              ,Arizona                                                               ,Male,2014-2018,Veteran,614.0
4012,La Paz County                                ,Arizona                                                               ,Male,2014-2018,Veteran,2534.0
4013,Maricopa County                              ,Arizona                                                               ,Male,2014-2018,Veteran,231617.0
4015,Mohave County                                ,Arizona                                                               ,Male,2014-2018,Veteran,22706.0
4017,Navajo County                                ,Arizona                                                               ,Male,2014-2018,Veteran,6833.0
4019,Pima County                                  ,Arizona                                                               ,Male,2014-2018,Veteran,76760.0
4021,Pinal County                                 ,Arizona                                                               ,Male,2014-2018,Veteran,32401.0
4023,Santa Cruz County                            ,Arizona                                                               ,Male,2014-2018,Veteran,1559.0
4025,Yavapai County                               ,Arizona                                                               ,Male,2014-2018,Veteran,24563.0
4027,Yuma County                                  ,Arizona                                                               ,Male,2014-2018,Veteran,14032.0
5001,Arkansas County                              ,Arkansas                                                              ,Male,2014-2018,Veteran,1048.0
5003,Ashley County                                ,Arkansas                                                              ,Male,2014-2018,Veteran,987.0
5005,Baxter County                                ,Arkansas                                                              ,Male,2014-2018,Veteran,4499.0
5007,Benton County                                ,Arkansas                                                              ,Male,2014-2018,Veteran,14469.0
5009,Boone County                                 ,Arkansas                                                              ,Male,2014-2018,Veteran,2920.0
5011,Bradley County                               ,Arkansas                                                              ,Male,2014-2018,Veteran,632.0
5013,Calhoun County                               ,Arkansas                                                              ,Male,2014-2018,Veteran,456.0
5015,Carroll County                               ,Arkansas                                                              ,Male,2014-2018,Veteran,2272.0
5017,Chicot County                                ,Arkansas                                                              ,Male,2014-2018,Veteran,491.0
5019,Clark County                                 ,Arkansas                                                              ,Male,2014-2018,Veteran,1417.0
5021,Clay County                                  ,Arkansas                                                              ,Male,2014-2018,Veteran,969.0
5023,Cleburne County                              ,Arkansas                                                              ,Male,2014-2018,Veteran,2296.0
5025,Cleveland County                             ,Arkansas                                                              ,Male,2014-2018,Veteran,506.0
5027,Columbia County                              ,Arkansas                                                              ,Male,2014-2018,Veteran,1307.0
5029,Conway County                                ,Arkansas                                                              ,Male,2014-2018,Veteran,1436.0
5031,Craighead County                             ,Arkansas                                                              ,Male,2014-2018,Veteran,4976.0
5033,Crawford County                              ,Arkansas                                                              ,Male,2014-2018,Veteran,4311.0
5035,Crittenden County                            ,Arkansas                                                              ,Male,2014-2018,Veteran,2221.0
5037,Cross County                                 ,Arkansas                                                              ,Male,2014-2018,Veteran,763.0
5039,Dallas County                                ,Arkansas                                                              ,Male,2014-2018,Veteran,526.0
5041,Desha County                                 ,Arkansas                                                              ,Male,2014-2018,Veteran,496.0
5043,Drew County                                  ,Arkansas                                                              ,Male,2014-2018,Veteran,1114.0
5045,Faulkner County                              ,Arkansas                                                              ,Male,2014-2018,Veteran,6340.0
5047,Franklin County                              ,Arkansas                                                              ,Male,2014-2018,Veteran,1276.0
5049,Fulton County                                ,Arkansas                                                              ,Male,2014-2018,Veteran,1121.0
5051,Garland County                               ,Arkansas                                                              ,Male,2014-2018,Veteran,8127.0
5053,Grant County                                 ,Arkansas                                                              ,Male,2014-2018,Veteran,1421.0
5055,Greene County                                ,Arkansas                                                              ,Male,2014-2018,Veteran,2833.0
5057,Hempstead County                             ,Arkansas                                                              ,Male,2014-2018,Veteran,1106.0
5059,Hot Spring County                            ,Arkansas                                                              ,Male,2014-2018,Veteran,2252.0
5061,Howard County                                ,Arkansas                                                              ,Male,2014-2018,Veteran,753.0
5063,Independence County                          ,Arkansas                                                              ,Male,2014-2018,Veteran,2295.0
5065,Izard County                                 ,Arkansas                                                              ,Male,2014-2018,Veteran,1323.0
5067,Jackson County                               ,Arkansas                                                              ,Male,2014-2018,Veteran,1052.0
5069,Jefferson County                             ,Arkansas                                                              ,Male,2014-2018,Veteran,3893.0
5071,Johnson County                               ,Arkansas                                                              ,Male,2014-2018,Veteran,1727.0
5073,Lafayette County                             ,Arkansas                                                              ,Male,2014-2018,Veteran,395.0
5075,Lawrence County                              ,Arkansas                                                              ,Male,2014-2018,Veteran,1074.0
5077,Lee County                                   ,Arkansas                                                              ,Male,2014-2018,Veteran,368.0
5079,Lincoln County                               ,Arkansas                                                              ,Male,2014-2018,Veteran,705.0
5081,Little River County                          ,Arkansas                                                              ,Male,2014-2018,Veteran,817.0
5083,Logan County                                 ,Arkansas                                                              ,Male,2014-2018,Veteran,1369.0
5085,Lonoke County                                ,Arkansas                                                              ,Male,2014-2018,Veteran,6041.0
5087,Madison County                               ,Arkansas                                                              ,Male,2014-2018,Veteran,813.0
5089,Marion County                                ,Arkansas                                                              ,Male,2014-2018,Veteran,1756.0
5091,Miller County                                ,Arkansas                                                              ,Male,2014-2018,Veteran,2759.0
5093,Mississippi County                           ,Arkansas                                                              ,Male,2014-2018,Veteran,2068.0
5095,Monroe County                                ,Arkansas                                                              ,Male,2014-2018,Veteran,445.0
5097,Montgomery County                            ,Arkansas                                                              ,Male,2014-2018,Veteran,768.0
5099,Nevada County                                ,Arkansas                                                              ,Male,2014-2018,Veteran,363.0
6001,Alameda County                               ,California                                                            ,Male,2014-2018,Veteran,46367.0
6003,Alpine County                                ,California                                                            ,Male,2014-2018,Veteran,82.0
6005,Amador County                                ,California                                                            ,Male,2014-2018,Veteran,3718.0
6007,Butte County                                 ,California                                                            ,Male,2014-2018,Veteran,13655.0
6009,Calaveras County                             ,California                                                            ,Male,2014-2018,Veteran,4201.0
6011,Colusa County                                ,California                                                            ,Male,2014-2018,Veteran,718.0
6013,Contra Costa County                          ,California                                                            ,Male,2014-2018,Veteran,44685.0
6015,Del Norte County                             ,California                                                            ,Male,2014-2018,Veteran,1951.0
6017,El Dorado County                             ,California                                                            ,Male,2014-2018,Veteran,13177.0
6019,Fresno County                                ,California                                                            ,Male,2014-2018,Veteran,34160.0
6021,Glenn County                                 ,California                                                            ,Male,2014-2018,Veteran,1319.0
6023,Humboldt County                              ,California                                                            ,Male,2014-2018,Veteran,7947.0
6025,Imperial County                              ,California                                                            ,Male,2014-2018,Veteran,5096.0
6027,Inyo County                                  ,California                                                            ,Male,2014-2018,Veteran,1500.0
6029,Kern County                                  ,California                                                            ,Male,2014-2018,Veteran,33722.0
6031,Kings County                                 ,California                                                            ,Male,2014-2018,Veteran,9146.0
