County Code,County,State,gender,Year,level,pct
1001,Autauga County                               ,Alabama                                                               ,Male,2018,Insured,23891.0
1001,Autauga County                               ,Alabama                                                               ,Female,2018,Insured,25748.0
1003,Baldwin County                               ,Alabama                                                               ,Male,2018,Insured,87224.0
1003,Baldwin County                               ,Alabama                                                               ,Female,2018,Insured,93447.0
1005,Barbour County                               ,Alabama                                                               ,Male,2018,Insured,11684.0
1005,Barbour County                               ,Alabama                                                               ,Female,2018,Insured,10586.0
1007,Bibb County                                  ,Alabama                                                               ,Male,2018,Insured,10718.0
1007,Bibb County                                  ,Alabama                                                               ,Female,2018,Insured,9400.0
1009,Blount County                                ,Alabama                                                               ,Male,2018,Insured,24027.0
1009,Blount County                                ,Alabama                                                               ,Female,2018,Insured,25472.0
1011,Bullock County                               ,Alabama                                                               ,Male,2018,Insured,4944.0
1011,Bullock County                               ,Alabama                                                               ,Female,2018,Insured,4169.0
1013,Butler County                                ,Alabama                                                               ,Male,2018,Insured,8206.0
1013,Butler County                                ,Alabama                                                               ,Female,2018,Insured,9431.0
1015,Calhoun County                               ,Alabama                                                               ,Male,2018,Insured,48345.0
1015,Calhoun County                               ,Alabama                                                               ,Female,2018,Insured,53984.0
1017,Chambers County                              ,Alabama                                                               ,Male,2018,Insured,14176.0
1017,Chambers County                              ,Alabama                                                               ,Female,2018,Insured,15724.0
1019,Cherokee County                              ,Alabama                                                               ,Male,2018,Insured,10910.0
1019,Cherokee County                              ,Alabama                                                               ,Female,2018,Insured,11469.0
1021,Chilton County                               ,Alabama                                                               ,Male,2018,Insured,17836.0
1021,Chilton County                               ,Alabama                                                               ,Female,2018,Insured,18919.0
1023,Choctaw County                               ,Alabama                                                               ,Male,2018,Insured,5321.0
1023,Choctaw County                               ,Alabama                                                               ,Female,2018,Insured,5997.0
1025,Clarke County                                ,Alabama                                                               ,Male,2018,Insured,9993.0
1025,Clarke County                                ,Alabama                                                               ,Female,2018,Insured,11332.0
1027,Clay County                                  ,Alabama                                                               ,Male,2018,Insured,5378.0
1027,Clay County                                  ,Alabama                                                               ,Female,2018,Insured,5870.0
1029,Cleburne County                              ,Alabama                                                               ,Male,2018,Insured,6203.0
1029,Cleburne County                              ,Alabama                                                               ,Female,2018,Insured,6715.0
1031,Coffee County                                ,Alabama                                                               ,Male,2018,Insured,21719.0
1031,Coffee County                                ,Alabama                                                               ,Female,2018,Insured,23169.0
1033,Colbert County                               ,Alabama                                                               ,Male,2018,Insured,22946.0
1033,Colbert County                               ,Alabama                                                               ,Female,2018,Insured,25379.0
1035,Conecuh County                               ,Alabama                                                               ,Male,2018,Insured,5174.0
1035,Conecuh County                               ,Alabama                                                               ,Female,2018,Insured,5777.0
1037,Coosa County                                 ,Alabama                                                               ,Male,2018,Insured,4786.0
1037,Coosa County                                 ,Alabama                                                               ,Female,2018,Insured,4706.0
1039,Covington County                             ,Alabama                                                               ,Male,2018,Insured,15682.0
1039,Covington County                             ,Alabama                                                               ,Female,2018,Insured,17108.0
