State,County,County.Code,Net
California                                                            ,Los Angeles County                           ,6037,10098052
Texas                                                                 ,Harris County                                ,48201,4602523
Nevada                                                                ,Clark County                                 ,32003,2141574
Texas                                                                 ,Bexar County                                 ,48029,1925865
California                                                            ,Sacramento County                            ,6067,1510023
Oregon                                                                ,Multnomah County                             ,41051,798647
California                                                            ,San Joaquin County                           ,6077,732212
Michigan                                                              ,Kent County                                  ,26081,643140
Maryland                                                              ,Baltimore city                               ,24510,614700
Massachusetts                                                         ,Bristol County                               ,25005,558905
Ohio                                                                  ,Summit County                                ,39153,541810
New York                                                              ,Richmond County                              ,36085,474101
Idaho                                                                 ,Ada County                                   ,16001,446052
South Carolina                                                        ,Charleston County                            ,45019,394708
Oregon                                                                ,Lane County                                  ,41039,368882
Minnesota                                                             ,Anoka County                                 ,27003,347431
New Jersey                                                            ,Somerset County                              ,34035,330176
Nebraska                                                              ,Lancaster County                             ,31109,310094
Georgia                                                               ,Chatham County                               ,13051,287049
Pennsylvania                                                          ,Dauphin County                               ,42043,274515
California                                                            ,Marin County                                 ,6041,260295
North Carolina                                                        ,Buncombe County                              ,37021,254474
Minnesota                                                             ,Washington County                            ,27163,253317
Louisiana                                                             ,St. Tammany Parish                           ,22103,252093
Texas                                                                 ,Smith County                                 ,48423,225015
Georgia                                                               ,Henry County                                 ,13151,221307
Ohio                                                                  ,Summit County                                ,39153,541810
Idaho                                                                 ,Canyon County                                ,16027,212230
Minnesota                                                             ,St. Louis County                             ,27137,200080
South Carolina                                                        ,Anderson County                              ,45007,195995
Georgia                                                               ,Hall County                                  ,13139,195961
Wisconsin                                                             ,Racine County                                ,55101,195398
North Carolina                                                        ,Johnston County                              ,37101,191172
Indiana                                                               ,Tippecanoe County                            ,18157,189294
Pennsylvania                                                          ,Butler County                                ,42019,186566
Florida                                                               ,Santa Rosa County                            ,12113,170442
South Carolina                                                        ,Aiken County                                 ,45003,166926
Massachusetts                                                         ,Hampshire County                             ,25015,161159
Indiana                                                               ,Hendricks County                             ,18063,160940
Utah                                                                  ,Washington County                            ,49053,160537
Michigan                                                              ,Jackson County                               ,26075,158913
Minnesota                                                             ,Stearns County                               ,27145,156819
North Carolina                                                        ,Catawba County                               ,37035,156729
Georgia                                                               ,Bibb County                                  ,13021,153490
Ohio                                                                  ,Fairfield County                             ,39045,152910
Maine                                                                 ,Penobscot County                             ,23019,151748
Florida                                                               ,Indian River County                          ,12061,150984
North Carolina                                                        ,Rowan County                                 ,37159,139605
Pennsylvania                                                          ,Cambria County                               ,42021,134550
Wisconsin                                                             ,Washington County                            ,55131,134535
